timestamp,task_id,subtask_id,user_id,action,outcome,detail,command,version,input
2026-09-15T12:25:18.726Z,P0001,,297915765,claim_encoding,accepted,,campaign.claimTask,1,"{""task_id"":""P0001""}"
2026-09-15T12:37:55.003Z,P0001,,297915765,submit_encoding,accepted,,campaign.submitZones,2,"{""task_id"":""P0001"",""measures"":23,""systems"":3,""movements"":1}"
2026-09-15T12:38:51.694Z,P0001,S0001,38179254,claim_validation,accepted,,campaign.claimValidation,1,"{""task_id"":""P0001"",""subtask_id"":""S0001""}"
2026-09-15T12:40:39.404Z,P0001,S0001,38179254,submit_validation,accepted,pass,campaign.submitValidation,2,"{""task_id"":""P0001"",""subtask_id"":""S0001"",""verdict"":""pass""}"
2026-09-15T12:45:58.032Z,P0002,,297915765,claim_encoding,accepted,,campaign.claimTask,1,"{""task_id"":""P0002""}"
2026-09-15T12:53:11.725Z,P0002,,297915765,submit_encoding,accepted,,campaign.submitScoreSetup,1,"{""task_id"":""P0002"",""staves"":3,""groups"":1,""keysig"":""4s"",""meter"":""4/4""}"
2026-09-15T12:54:19.215Z,P0002,S0001,38179254,claim_validation,accepted,,campaign.claimValidation,1,"{""task_id"":""P0002"",""subtask_id"":""S0001""}"
2026-09-15T12:55:05.146Z,P0002,S0001,38179254,submit_validation,accepted,pass,campaign.submitValidation,2,"{""task_id"":""P0002"",""subtask_id"":""S0001"",""verdict"":""pass""}"
2026-09-15T12:58:59.193Z,T0001,,38179254,claim_encoding,accepted,,campaign.openEditor,1,"{""task_id"":""T0001""}"
2026-09-15T13:01:39.910Z,T0001,,38179254,submit_encoding,accepted,,campaign.submitEncoding,1,"{""task_id"":""T0001""}"
